,importance
duration,0.2159694321701223
contact,0.07059776663365339
poutcome,0.029994380310018266
job,0.027316199953336007
month,0.026218163448088794
day,0.003967800404367233
loan,0.002966957616263155
education,0.0
marital,0.0
housing,0.0
default,0.0
balance,0.0
pdays,0.0
campaign,0.0
previous,0.0
age,-0.0014321459294340643
